DOR Code,Municipality,County,Year,Population,DOR Income,DOR Income Per Capita,EQV,EQV Per Capita,Opiod Deaths,Democrat,Republican,Unemployment
1,Abington,PLYMOUTH,1/1/2016,"16,124","496,076,000","30,766","1,759,005,600","109,092",2,47.50%,46.50%,4.21
2,Acton,MIDDLESEX,1/1/2016,"22,891","1,355,941,000","59,235","3,865,006,000","168,844",3,73.50%,20.50%,2.79
3,Acushnet,BRISTOL,1/1/2016,"10,350","280,319,000","27,084","1,040,797,100","100,560",2,43.50%,51.80%,5.06
4,Adams,BERKSHIRE,1/1/2016,"8,332","163,740,000","19,652","483,765,400","58,061",1,60.80%,32.40%,5.29
5,Agawam,HAMPDEN,1/1/2016,"28,705","738,256,000","25,719","2,944,629,200","102,582",0,42.80%,51.20%,4.22
6,Alford,BERKSHIRE,1/1/2016,491,"19,630,000","39,980","281,265,800","572,843",0,76.90%,17.70%,2.48
7,Amesbury,ESSEX,1/1/2016,"16,650","520,578,000","31,266","1,849,252,600","111,066",1,57.00%,35.60%,3.22
8,Amherst,HAMPSHIRE,1/1/2016,"38,919","656,983,000","16,881","2,220,991,600","57,067",3,84.10%,8.60%,3.78
9,Andover,ESSEX,1/1/2016,"34,477","2,527,715,000","73,316","7,120,772,800","206,537",3,59.30%,34.90%,3.08
10,Arlington,MIDDLESEX,1/1/2016,"44,028","2,093,883,000","47,558","7,913,085,100","179,728",2,83.10%,12.20%,2.68
11,Ashburnham,WORCESTER,1/1/2016,"6,155","179,495,000","29,162","585,465,100","95,120",1,77.70%,17.80%,3.85
12,Ashby,MIDDLESEX,1/1/2016,"3,161","86,896,000","27,490","288,268,400","91,195",0,44.00%,47%,3.85
13,Ashfield,FRANKLIN,1/1/2016,"1,733","46,582,000","26,879","230,930,200","133,255",0,38.60%,52.20%,2.41
14,Ashland,MIDDLESEX,1/1/2016,"17,150","729,371,000","42,529","2,267,885,700","132,238",2,74.90%,16.50%,2.99
15,Athol,WORCESTER,1/1/2016,"11,619","202,867,000","17,460","635,006,300","54,652",4,63.00%,30.70%,5.23
16,Attleboro,BRISTOL,1/1/2016,"43,886","1,192,770,000","27,179","3,884,331,000","88,510",23,42.80%,48.10%,4.07
17,Auburn,WORCESTER,1/1/2016,"16,315","486,094,000","29,794","1,944,459,700","119,182",0,51.30%,42.00%,3.85
18,Avon,NORFOLK,1/1/2016,"4,454","120,680,000","27,095","770,032,900","172,886",1,49.10%,43.80%,3.93
19,Ayer,MIDDLESEX,1/1/2016,"7,821","218,920,000","27,991","1,012,014,600","129,397",10,51.40%,43.70%,4.48
20,Barnstable,BARNSTABLE,1/1/2016,"44,641","1,548,890,000","34,697","13,476,184,100","301,879",30,53.80%,37.30%,4.65
21,Barre,WORCESTER,1/1/2016,"5,446","125,961,000","23,129","406,699,000","74,678",0,50.70%,43.90%,4.85
22,Becket,BERKSHIRE,1/1/2016,"1,779","39,148,000","22,006","516,080,100","290,096",0,42.10%,50.10%,4.41
23,Bedford,MIDDLESEX,1/1/2016,"13,975","771,668,000","55,218","3,037,581,300","217,358",2,57.00%,36.80%,3.26
24,Belchertown,HAMPSHIRE,1/1/2016,"14,735","438,707,000","29,773","1,401,621,900","95,122",1,65.30%,28.40%,3.63
25,Bellingham,NORFOLK,1/1/2016,"16,675","524,050,000","31,427","2,163,943,500","129,772",1,54.00%,38.80%,3.97
26,Belmont,MIDDLESEX,1/1/2016,"25,332","2,012,464,000","79,444","5,760,631,800","227,405",1,46.40%,46.70%,2.59
27,Berkley,BRISTOL,1/1/2016,"6,516","214,557,000","32,928","755,363,800","115,924",2,72.40%,22.00%,4.14
28,Berlin,WORCESTER,1/1/2016,"2,942","131,271,000","44,620","533,595,700","181,372",0,40.50%,54.00%,3.03
29,Bernardston,FRANKLIN,1/1/2016,"2,123","53,824,000","25,353","221,233,900","104,208",0,52.70%,38.90%,3.85
